,placement,player,archetype,deck_id
0,1,Adrian Gregory George,Ritual Beast,ritual-beast-507786
1,2,<unknown duelist>,,
2,3,<2 unknown Top 4 duelists>,,
3,4,<4 unknown Top 8 duelists>,,
4,5,<8 unknown Top 16 duelists>,,
5,6,<16 unknown Top 32 duelists>,,
