,placement,player,archetype,deck_id
0,1,Fernando Morales Mamani,Infernoble Knight,60-card-small-therion-phantom-snow-infernoble-knight-282034
1,2,Victor Hugo Calderón Diaz,Burn,mystic-mine-burn-282044
2,3,Edson Ramirez Ravilla,Tri-Brigade,lyrilusc-tri-brigade-282099
3,4,Adrian Aviles Carrasco,Swordsoul,tenyi-swordsoul-282115
4,5,Luis Illanes Quispe,Invoked,enforcer-dogmatika-shaddoll-invoked-282143
5,6,Enrique Cahuasa Quispe,Despia,branded-snow-despia-282137
6,7,Cristian Calle Limachi,Invoked,mekk-knight-invoked-282129
7,8,Rodrigo Crrasco Silva,Pendulum Magicians,pendulum-magicians-282125
