,placement,player,archetype,deck_id
0,1,Erik Winkler,Snake-Eye,diabellstar-snake-eye-503235
1,2,Laurent Vanoverschelde,Salamangreat,
2,3,Louis Collard,Runick,stun-runick-504726
3,4,Sami Louissi,Snake-Eye,
4,5,Daniel Wild,Snake-Eye,
5,6,Jan Zevenbergen,Snake-Eye,
6,7,Zakaria Yahiaoui,Runick,
7,8,Thomas Jendros,Tenpai Dragon,tenpai-dragon-500730
8,9,Ilias Fassi,Purrely,
9,10,Louis Thiery,Snake-Eye,
10,11,Hakim Ben Tanfous,Snake-Eye,
11,12,Ryan Jacobs,Runick,stun-runick-502855
12,13,Gregoire Vernois,Labrynth,
13,14,Maxence Boyer,Labrynth,
14,15,Benny Verhoeven,Tenpai Dragon,tenpai-dragon-501575
15,16,Jolan Van Walleghem,Tenpai Dragon,
