,placement,player,archetype,deck_id,deck_cost
0,1,Steven Santoli,Exosister,spirit-exosister-333085,$104.42
1,2,Liam Mac Oscair,@Ignister,firewall-mathmech-ignister-333018,$115.79
2,3,Bill Wei,Kashtira,kashtira-333156,$186.65
3,4,Christopher LeBlanc,Purrely,purrely-333155,$155.99
4,5,Mike Thomas,Dragon Link,bystial-dragon-link-333086,$244.93
5,6,Steven Gleason,Dragon Link,bystial-dragon-link-333154,$199.93
6,7,Jordan Farris,Floowandereeze,floowandereeze-333017,$69.53
7,8,Enzo Fiallos,Kashtira,,
8,9,Shaun McDonald ,Rikka,therion-sunavalon-rikka-333022,$115.67
9,10,Jamie Hunter,Fur Hire,,
10,11,David Borgognoni ,Despia,,
11,12,Josh Kippenberg ,Kashtira,,
12,13,Alexis Tsokas,Kashtira,,
13,14,Erkam Yilmaz,Vanquish Soul,,
14,15,Immanuel Washington ,Floowandereeze,,
15,16,Dylan Fricker,Sky Striker,sky-striker-333164,$132.33
16,17,Joe Dietrich,Spright,melffy-adventurer-spright-333020,$151.77
17,18,Shunping Xu ,Tearlaments,shaddoll-kashtira-tearlaments-334371,$121.21
18,19,Trevor Commer,Fur Hire,runick-spright-fur-hire-333152,$180.59
19,20,Lucas Sacco,Fur Hire,runick-spright-fur-hire-334747,$89.67
20,21,Arjun Radhakrishnan,Dragon Link,,
21,22,Christopher Lin ,Plunder Patroll,adventurer-plunder-patroll-333158,$77.87
22,23,Andres Arreola Jr. ,Dragon Link,,
23,24,Andrew Edwards ,Rikka,,
24,25,William Candia,Dragon Link,,
25,26,Joseph Chou Jr. ,Kashtira,,
26,27,Ryan Fletcher ,Floowandereeze,,
27,28,Michael Shari ,Superheavy Samurai,,
28,29,Ashik Nabit ,Kashtira,,
29,30,Denis Nadas,Kashtira,,
30,31,Jose Lopez ,Kashtira,,
31,32,Michael Wisniewski ,Labrynth,,
