,placement,player,archetype,deck_id
0,1,Onur Gezer,Altergeist,
1,2,Jesse Kotton,Thunder Dragon,
2,3,Bohdan Temnyk,Thunder Dragon,
3,4,Peter Mitrothanasis,Altergeist,
4,5,Lincoln Johnston,Sky Striker,
5,6,Koji Yajima,Burning Abyss,
6,7,Liam DeBono,Sky Striker,
7,8,Chris Mattiske,,
8,9,Isaac Stott,Thunder Dragon,
9,10,Cameron Aiezza,Prank-Kids,
10,11,Jarryd Kidd,,
11,12,Jason Maher,,
12,13,Daniel Vu,,
13,14,Joshua Ng,,
14,15,Chris Whitehead,,
15,16,Weisi Chen,,
16,17,Louois Pozzacchio,Altergeist,
17,18,Stephen Medhurst,Sky Striker,
18,19,Patrick Safranko,Sky Striker,
19,20,Ben Manns,,
20,21,Paul Swansson,,
21,22,Alex Berlemon,,
22,23,Nicholas Mecsery,,
23,24,Janah Singer,,
24,25,Joshua Rebolledo,,
25,26,Gabriel Rodriguez,,
26,27,Liam Manning,,
27,28,Alex Anagnostopoulos,,
28,29,Wang Haoxiao,,
29,30,Duy Nguyen,,
30,31,Elton Zhang,,
31,32,Nathan Kosc,,
