,placement,player,archetype,deck_id
0,1,Elijah Green,Prank-Kids,adventurer-enforcer-prank-kids-268685
1,2,Jerome FL Adams,Eldlich,eldlich-268841
2,3,Enzo Fiallos,Eldlich,adventurer-enforcer-cyberse-eldlich-268693
3,4,Ryan Fletcher,Floowandereeze,floowandereeze-268697
4,5,Raphael Neven,Prank-Kids,60-card-small-adventurer-enforcer-prank-kids-269182
5,6,Isaiah Houston,Prank-Kids,60-card-adventurer-enforcer-prank-kids-269166
6,7,Sean Washington,Swordsoul,halqifibrax-tenyi-swordsoul-268662
7,8,Andres Torres,Despia,enforcer-despia-268725
8,9,Matthew Bishop,Invoked,
9,10,Hisam Jawhari,Prank-Kids,
10,11,John Wilkin,Prank-Kids,60-card-adventurer-enforcer-prank-kids-268733
11,12,Thomas Williams,Prank-Kids,60-card-small-adventurer-enforcer-prank-kids-268737
12,13,Cristian Rafael Urena,Synchro Good Stuff,adventurer-synchro-gs-269178
13,14,Jorge Llanes,Eldlich,eldlich-268741
14,15,Nicolas Ortiz,Floowandereeze,floowandereeze-268749
15,16,Walter Jule,Swordsoul,
16,17,Brian Kalina,Prank-Kids,60-card-small-adventurer-enforcer-prank-kids-268817
17,18,Thomas Rowe,Prank-Kids,adventurer-enforcer-prank-kids-269170
18,19,Shovon Roy,Prank-Kids,
19,20,Samson Nguyen,Prank-Kids,60-card-small-adventurer-enforcer-prank-kids-268821
20,21,Carl Manigat,Sky Striker,adventurer-enforcer-sky-striker-268677
21,22,Josh Kippenberg,Eldlich,60-card-adventurer-cyberse-enforcer-eldlich-269190
22,23,Griffin Gamrat,Eldlich,60-card-adventurer-cyberse-enforcer-eldlich-268757
23,24,Avery Foster,Shaddoll,dogmatika-shaddoll-268829
24,25,Charley Futch,Swordsoul,halqifibrax-tenyi-swordsoul-268825
25,26,Dakota Angeloff,Synchro Good Stuff,adventurer-synchro-gs-269174
26,27,Dominic Couch,Swordsoul,halqifibrax-tenyi-swordsoul-269194
27,28,Gabriel Braithwaite,Swordsoul,halqifibrax-tenyi-swordsoul-269198
28,29,Matthew Heuvel,Synchro Good Stuff,
29,30,Bruce Kendrick,Floowandereeze,floowandereeze-269186
30,31,Victor Suarez,Floowandereeze,
31,32,William Candia,Dragon Link,dragon-link-268761
