"","archetype","placement","player","deck_id","deck_cost","slug","archetype_encoding","archetype_power_level"
"48","Fiendsmith",6,"Pakawat Pamornsut","kashtira-fiendsmith-548259",1130.36,"ycs-bologna-2407",9,0
"49","Fiendsmith",50,"Niko Schlierkamp","kashtira-fiendsmith-548275",1007.02,"ycs-bologna-2407",9,0
"50","Fiendsmith",20,"David Golightly","kashtira-fiendsmith-564603",989.7,"ycs-orlando-2684",9,0
"51","Fiendsmith",18,"Joseph Tello Wong","kashtira-fiendsmith-596293",898.51,"ycs-mexico-city-2972",9,0
"52","Fiendsmith",34,"Timoti Baggio","fiendsmith-azamina-adventurer-kashtira-548730",1217.51,"ycs-bologna-2407",9,0
"53","Fiendsmith",26,"Dinh-Kha Bui","kashtira-fiendsmith-548052",756.54,"ycs-bologna-2407",9,0
"54","Fiendsmith",48,"Daniel Hartmann","kashtira-fiendsmith-548276",1136.53,"ycs-bologna-2407",9,0
"55","Fiendsmith",9,"Joshua Schmidt","magical-musketeer-fiendsmith-551967",964,"ycs-anaheim-2473",9,0
"56","Fiendsmith",25,"Joshua Schmidt","kashtira-fiendsmith-548402",1136.33,"ycs-bologna-2407",9,0
"57","Fire King",38,"Simone Gianino","azamina-snake-eye-fire-king-548405",1043.06,"ycs-bologna-2407",17,0
"58","Fire King",30,"Franco Persano","fire-king-586346",645.59,"ycs-buenos-aires-2891",17,0
"59","Fire King",4,"John Wilkin","azamina-snake-eye-fire-king-544545",1086.6,"na-remote-duel-ycs-2385",17,0
"60","Fire King",64,"<unknown duelist>","",NA,"ycs-bologna-2407",17,0
"61","Fire King",17,"Filippo Cusin","azamina-snake-eye-fire-king-548728",1009.51,"ycs-bologna-2407",17,0
"62","Fire King",6,"Paul David Delgado Rezabala","",NA,"ycs-guayaquil-2362",17,0
"63","Fire King",9,"Sean Pittman","azamina-snake-eye-fire-king-545179",1057.74,"na-remote-duel-ycs-2385",17,0
"64","Fire King",18,"Brenden Beckmann","azamina-snake-eye-fire-king-549954",1113.25,"ycs-bologna-2407",17,0
