"","X","id","name","copies","deck_part","deck_id","archetype"
"71",6,21044178,"Abyss Dweller",1,1,"atlantean-mermail-544946","Mermail"
"72",7,96633955,"Swordsoul Supreme Sovereign - Chengying",1,1,"atlantean-mermail-544946","Mermail"
"73",8,79130389,"Marincess Coral Anemone",1,1,"atlantean-mermail-544946","Mermail"
"74",9,23545031,"Mermail Abyssalacia",1,1,"atlantean-mermail-544946","Mermail"
"75",10,82184400,"Abyss Keeper",1,1,"atlantean-mermail-544946","Mermail"
"76",11,45112597,"Worldsea Dragon Zealantis",1,1,"atlantean-mermail-544946","Mermail"
"77",12,69385019,"Mermail King - Neptabyss",1,1,"atlantean-mermail-544946","Mermail"
"78",0,706925,"Atlantean Marksman",1,2,"atlantean-mermail-544946","Mermail"
"79",1,91800273,"Dimension Shifter",1,2,"atlantean-mermail-544946","Mermail"
"80",2,94145021,"Droll & Lock Bird",1,2,"atlantean-mermail-544946","Mermail"
"81",3,8267140,"Cosmic Cyclone",3,2,"atlantean-mermail-544946","Mermail"
"82",4,65681983,"Crossout Designator",3,2,"atlantean-mermail-544946","Mermail"
"83",5,35269904,"Triple Tactics Thrust",3,2,"atlantean-mermail-544946","Mermail"
"84",6,83326048,"Dimensional Barrier",1,2,"atlantean-mermail-544946","Mermail"
"85",7,31849106,"Different Dimension Ground",1,2,"atlantean-mermail-544946","Mermail"
"86",8,80534031,"Virtue Stream",1,2,"atlantean-mermail-544946","Mermail"
"87",0,17080584,"Abyssrhine, the Atlantean Spirit",3,0,"atlantean-mermail-548094","Mermail"
"88",1,21565445,"Neptabyss, the Atlantean Prince",3,0,"atlantean-mermail-548094","Mermail"
"89",2,22446869,"Mermail Abyssteus",3,0,"atlantean-mermail-548094","Mermail"
"90",3,58471134,"Mermail Abysspike",3,0,"atlantean-mermail-548094","Mermail"
"91",4,74311226,"Atlantean Dragoons",3,0,"atlantean-mermail-548094","Mermail"
"92",5,53085623,"Mermail Shadow Squad",3,0,"atlantean-mermail-548094","Mermail"
"93",6,37104630,"Atlantean Heavy Infantry",1,0,"atlantean-mermail-548094","Mermail"
"94",7,71978434,"Deep Sea Minstrel",2,0,"atlantean-mermail-548094","Mermail"
"95",8,13959634,"Moulinglacia the Elemental Lord",1,0,"atlantean-mermail-548094","Mermail"
