,id,name,copies,deck_part
0,33854624,Bystial Magnamhut,1,0
1,6637331,Bystial Druiswurm,1,0
2,72656408,Bystial Baldrake,1,0
3,32731036,The Bystial Lubellion,3,0
4,97651498,Fabled Lurrie,1,0
5,60764609,Fiendsmith Engraver,3,0
6,28803166,Lacrima the Crimson Tears,1,0
7,32061192,Maliss P Dormouse,3,0
8,69272449,Maliss P White Rabbit,3,0
9,96676583,Maliss P Chessy Cat,1,0
10,14558128,Ash Blossom & Joyous Spring,3,0
11,94145021,Droll & Lock Bird,3,0
12,68337209,Maliss in Underground,3,0
13,98567237,Fiendsmith's Tract,2,0
14,34090915,Branded Regained,1,0
15,35480699,Book of Eclipse,3,0
16,73628505,Terraforming,1,0
17,75500286,Gold Sarcophagus,1,0
18,10045474,Infinite Impermanence,3,0
19,99989863,Fiendsmith in Paradise,1,0
20,20726052,Maliss C GWC-06,1,0
21,94722358,Maliss C MTP-07,1,0
22,57111661,Maliss C TB-11,1,0
0,82135803,Fiendsmith's Desirae,1,1
1,93860227,Necroquip Princess,1,1
2,49867899,Fiendsmith's Sequence,1,1
3,2463794,Fiendsmith's Requiem,1,1
4,71818935,Moon of the Closed Heaven,1,1
5,21848500,Maliss Q Hearts Crypter,1,1
6,68059897,Maliss Q Red Ransom,1,1
7,95454996,Maliss Q White Binder,1,1
8,4731783,"A Bao A Qu, the Lightless Shadow",1,1
9,30342076,Link Decoder,1,1
10,8264361,"Dharc the Dark Charmer, Gloomy",1,1
11,65741786,I:P Masquerena,1,1
12,29301450,S:P Little Knight,1,1
13,9763474,Haggard Lizardose,1,1
14,93039339,Super Starslayer TY-PHON - Sky Crisis,1,1
0,34267821,Artifact Lancea,3,2
1,42141493,Mulcharmy Fuwalos,3,2
2,87126721,Mulcharmy Meowls,3,2
3,84192580,Mulcharmy Purulia,3,2
4,24224830,Called by the Grave,1,2
5,18144507,Harpie's Feather Duster,1,2
6,14532163,Lightning Storm,1,2
