,id,name,country,event_date,winner,format,slug,player_count,is_approximate_player_count
53,1844,North Island State Championships,New Zealand,2024-05-25,Dino Spasovski,TCG,north-island-state-championships-1844,76,0
54,1843,Victoria State Championships,Australia,2024-05-25,Yuqi Lu,TCG,victoria-state-championships-1843,120,1
55,1840,Bolivia National Championship 2024,Bolivia,2024-05-25,Alberzon Ajata Argollo,TCG,bolivia-national-championship-2024-1840,280,1
56,1839,Trinidad and Tobago National Championship 2024,Trinidad and Tobago,2024-05-25,Sanjay Manoo,TCG,trinidad-and-tobago-national-championship-2024-1839,250,1
57,1838,Ecuador National Championship 2024,Ecuador,2024-05-25,Paul David Delgado Rezabala,TCG,ecuador-national-championship-2024-1838,350,1
58,1837,Chile National Championship 2024,Chile,2024-05-25,Jose Aramin,TCG,chile-national-championship-2024-1837,423,0
59,1833,Croatia National Championship 2024,Croatia,2024-05-19,Srdjan Mihajlović,TCG,croatia-national-championship-2024-1833,300,1
60,1831,Western Australia State Championship,Australia,2024-05-19,Yatin Patel,TCG,western-australia-state-championship-1831,100,0
61,1830,New South Wales State Championship,Australia,2024-05-19,Peter Mitro,TCG,new-south-wales-state-championship-1830,120,0
62,1821,Honduras National Championship 2024,Honduras,2024-05-19,Eduardo Antonio Vega Martinez,TCG,honduras-national-championship-2024-1821,172,0
63,1822,Mexico National Championship 2024,Mexico,2024-05-18,Rene Pacheco,TCG,mexico-national-championship-2024-1822,775,0
64,1820,Venezuela National Championship 2024,Venezuela,2024-05-18,Alnardo Aguilera,TCG,venezuela-national-championship-2024-1820,200,1
65,1819,Greece National Championship 2024,Greece,2024-05-18,Giannis Tato,TCG,greece-national-championship-2024-1819,225,0
66,1818,France National Championship 2024,France,2024-05-18,Anthony Lopes,TCG,france-national-championship-2024-1818,2300,0
67,1817,Austria National Championship 2024,Austria,2024-05-18,Florian Gönner,TCG,austria-national-championship-2024-1817,394,0
68,1816,Johannesburg State Championships,South Africa,2024-05-18,,TCG,johannesburg-state-championships-1816,92,0
69,1815,Cape Town State Championships,South Africa,2024-05-18,,TCG,cape-town-state-championships-1815,250,1
70,1798,Guatemala National Championship 2024,Guatemala,2024-05-13,Sebastian Muralles,TCG,guatemala-national-championship-2024-1798,215,0
71,1796,South Island State Championships,New Zealand,2024-05-12,Samuel John,TCG,south-island-state-championships-1796,76,1
72,1792,South Australia State Championships,Australia,2024-05-11,Chris McConnarchy,TCG,south-australia-state-championships-1792,76,0
73,1791,Netherlands National Championship 2024,Netherlands,2024-05-11,Baptiste Derouin,TCG,netherlands-national-championship-2024-1791,300,0
74,1790,Costa Rica National Championship 2024,Costa Rica,2024-05-11,Cesar Saborio,TCG,costa-rica-national-championship-2024-1790,400,1
75,1789,Peru National Championship 2024,Peru,2024-05-11,Renzo Vanini,TCG,peru-national-championship-2024-1789,452,0
76,1779,Dominican Republic National Championship 2024,Dominican Republic,2024-05-05,Alberto Imbert,TCG,dominican-republic-national-championship-2024-1779,300,1
77,1778,Nicaragua National Championship 2024,Nicaragua,2024-05-05,Dexter Sequeira,TCG,nicaragua-national-championship-2024-1778,154,1
78,1772,Queensland State Championships 2024,Australia,2024-05-04,Joshua Ng,TCG,queensland-state-championships-2024-1772,104,0
79,1759,YCS Rio de Janeiro,Brazil,2024-05-04,Rafael Mariano Reich,TCG,ycs-rio-de-janeiro-1759,378,0
80,1699,YCS Raleigh,United States,2024-04-20,Cameron Neal,TCG,ycs-raleigh-1699,1793,0
81,1676,YCS Guadalajara,Mexico,2024-04-13,Cristian Urena,TCG,ycs-guadalajara-1676,833,0
82,1606,YCS Medellin,Colombia,2024-03-30,Cristian Urena,TCG,ycs-medellin-1606,483,0
83,1462,YCS Sydney,Australia,2024-03-09,Jason Huang,TCG,ycs-sydney-1462,917,0
84,1430,Team YCS Las Vegas,United States,2024-02-24,The Jawhari Brothers,TCG,team-ycs-las-vegas-1430,1674,0
85,1387,Team YCS San Jose,Costa Rica,2024-02-17,Kids Next Door,TCG,team-ycs-san-jose-1387,408,0
86,1338,Undisputed Ultimate Duelist Series,United States,2024-02-17,Jesse Kotton,TCG,undisputed-ultimate-duelist-series-1338,16,0
87,1307,Latin America Remote Duel YCS,Brazil,2024-01-27,Rafael Mariano Reich,TCG,latin-america-remote-duel-ycs-1307,520,1
88,1125,YCS Bologna,Italy,2023-12-09,Joshua Schmidt,TCG,ycs-bologna-1125,2488,0
89,988,YCS Richmond,United States,2023-11-04,Joseph Bellafiore,TCG,ycs-richmond-988,1494,0
90,958,YCS Santa Cruz de la Sierra,Bolivia,2023-10-28,Michel Verissimo Da Silva,TCG,ycs-santa-cruz-de-la-sierra-958,260,0
91,947,YCS Indianapolis,United States,2023-10-21,Steven Santoli,TCG,ycs-indianapolis-947,1957,0
92,840,YCS Dortmund,Germany,2023-10-01,Julius Schwarzkopf,TCG,ycs-dortmund-840,2580,0
93,783,YCS Cancún,Mexico,2023-09-16,Andree Chavez Curioso,TCG,ycs-cancun-783,766,0
94,749,YCS Vancouver,Canada,2023-09-09,Jesse Kotton,TCG,ycs-vancouver-749,735,0
95,724,Team YCS São Paulo,Brazil,2023-09-02,Better Have It,TCG,team-ycs-são-paulo-724,588,0
96,484,North America WCQ 2023,United States,2023-07-08,Jeremy Mitchell,TCG,north-america-wcq-2023-484,3003,0
97,474,NA Worlds Qualifier Playoffs,United States,2023-07-07,Paulie Aronson,TCG,na-worlds-qualifier-playoffs-474,32,0
98,463,Oceanic Championship 2023,Australia,2023-07-01,Kunlun Lei,TCG,oceanic-championship-2023-463,335,0
99,462,European WCQ 2023,Netherlands,2023-07-01,Jessica Robinson,TCG,european-wcq-2023-462,1900,0
100,461,EU Worlds Qualifier Playoffs,Netherlands,2023-06-30,,TCG,eu-worlds-qualifier-playoffs-461,32,0
101,454,NA Remote Duel YCS,United States,2023-06-24,Steven Santoli,TCG,na-remote-duel-ycs-454,272,0
102,453,South America WCQ,Ecuador,2023-06-24,Santiago Marin,TCG,south-america-wcq-453,439,0
103,450,Germany National Championship 2023,Germany,2023-06-17,Dinh-Kha Bui,TCG,germany-national-championship-2023-450,1980,0
104,460,Serbia National Championship 2023,Serbia,2023-06-10,Damjan Mitrovic,TCG,serbia-national-championship-2023-460,300,1
105,438,NZ North Island State Championship,New Zealand,2023-06-10,Sini Collects,TCG,nz-north-island-state-championship-438,100,0
106,435,Denmark National Championship 2023,Denmark,2023-06-10,Anton Hjollund,TCG,denmark-national-championship-2023-435,138,0
107,434,France National Championship 2023,France,2023-06-10,Tristan Rémond,TCG,france-national-championship-2023-434,2024,0
108,436,Central America WCQ 2023,Mexico,2023-06-09,Carlos Jesus Mercado,TCG,central-america-wcq-2023-436,900,1
109,575,Central America WCQ Playoffs,Mexico,2023-06-08,Roberto Arce Lopez,TCG,central-america-wcq-playoffs-575,25,0
